,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9359605911330049,1.0,0.8796296296296297,95,0,529,13
1,桂枝,0.9721706864564007,0.9776119402985075,0.966789667896679,262,6,360,9
2,荊芥,0.8947368421052632,0.9444444444444444,0.85,17,1,616,3
3,防風,0.911764705882353,1.0,0.8378378378378378,31,0,600,6
4,細辛,0.9777777777777779,0.9943502824858758,0.9617486338797814,176,1,453,7
5,白芷,0.923076923076923,1.0,0.8571428571428571,6,0,630,1
6,生薑,0.9518413597733711,0.9824561403508771,0.9230769230769231,168,3,452,14
7,辛夷,0.9473684210526316,1.0,0.9,27,0,607,3
8,葛根,0.761904761904762,1.0,0.6153846153846154,8,0,624,5
9,升麻,1.0,1.0,1.0,8,0,629,0
10,柴胡,0.9826302729528535,1.0,0.9658536585365853,198,0,432,7
11,蟬蛻,0.9655172413793104,1.0,0.9333333333333333,14,0,622,1
12,石膏,0.9570552147239264,0.9873417721518988,0.9285714285714286,78,1,552,6
13,知母,0.9705882352941176,0.99,0.9519230769230769,99,1,532,5
14,梔子,0.9791666666666666,0.9791666666666666,0.9791666666666666,47,1,588,1
15,天花粉,1.0,1.0,1.0,13,0,624,0
16,夏枯草,0.9333333333333333,1.0,0.875,7,0,629,1
17,決明子,0.8,1.0,0.6666666666666666,6,0,628,3
18,生地,0.9787234042553192,0.9857142857142858,0.971830985915493,69,1,565,2
19,牡丹皮,1.0,1.0,1.0,7,0,630,0
20,連翹,0.9642857142857143,0.9642857142857143,0.9642857142857143,27,1,608,1
21,射干,0.9696969696969697,1.0,0.9411764705882353,16,0,620,1
22,黃連,0.9782608695652174,0.9926470588235294,0.9642857142857143,135,1,496,5
23,黃芩,0.9740518962075848,0.9838709677419355,0.9644268774703557,244,4,380,9
24,黃柏,0.9647058823529412,1.0,0.9318181818181818,41,0,593,3
25,龍膽草,0.9570552147239264,0.9873417721518988,0.9285714285714286,78,1,552,6
26,大黃,0.9483568075117371,0.9901960784313726,0.9099099099099099,101,1,525,10
27,芒硝,0.9647058823529412,0.9761904761904762,0.9534883720930233,41,1,593,2
28,防己,0.9494949494949495,0.9591836734693877,0.94,47,2,585,3
29,秦艽,0.8571428571428571,1.0,0.75,3,0,633,1
30,絡石藤,1.0,1.0,1.0,7,0,630,0
31,蒼朮,0.9302325581395349,0.975609756097561,0.8888888888888888,40,1,591,5
32,草果,1.0,1.0,1.0,6,0,631,0
33,茯苓,0.8688946015424165,0.9337016574585635,0.8125,169,12,417,39
34,豬苓,0.864,0.8709677419354839,0.8571428571428571,54,8,566,9
35,薏苡仁,0.6,1.0,0.42857142857142855,3,0,630,4
36,海金砂,0.7499999999999999,1.0,0.6,3,0,632,2
37,澤瀉,0.909502262443439,0.9305555555555556,0.8893805309734514,201,15,396,25
38,車前子,1.0,1.0,1.0,5,0,632,0
39,滑石,0.7894736842105263,0.9375,0.6818181818181818,15,1,614,7
40,木通,0.7789473684210525,0.8809523809523809,0.6981132075471698,37,5,579,16
41,通草,0.5,1.0,0.3333333333333333,1,0,634,2
42,赤小豆,0.5333333333333333,1.0,0.36363636363636365,4,0,626,7
43,燈心草,0.8,1.0,0.6666666666666666,4,0,631,2
44,乾薑,0.7436823104693141,0.7357142857142858,0.7518248175182481,103,37,463,34
45,附子,0.8391866913123843,0.8315018315018315,0.8470149253731343,227,46,323,41
46,吳茱萸,0.9333333333333333,0.9491525423728814,0.9180327868852459,56,3,573,5
47,枳實,0.8242424242424243,0.9577464788732394,0.723404255319149,68,3,540,26
48,烏藥,0.8214285714285714,0.8214285714285714,0.8214285714285714,69,15,538,15
49,厚朴,0.7142857142857143,0.8108108108108109,0.6382978723404256,60,14,529,34
50,大腹皮,0.6666666666666666,1.0,0.5,3,0,631,3
51,青皮,0.5,1.0,0.3333333333333333,4,0,625,8
52,薤白,0.375,1.0,0.23076923076923078,3,0,624,10
53,麥芽,0.3333333333333333,0.8947368421052632,0.20481927710843373,17,2,552,66
54,側柏葉,0.6071428571428571,0.68,0.5483870967741935,17,8,598,14
55,槐花,0.5,1.0,0.3333333333333333,4,0,625,8
56,三七,0.4615384615384615,0.6,0.375,3,2,627,5
57,茜草,0.5034013605442177,0.7708333333333334,0.37373737373737376,37,11,527,62
58,川芎,0.2686567164179105,0.9642857142857143,0.15606936416184972,27,1,463,146
59,乳香,0.5,1.0,0.3333333333333333,3,0,628,6
60,延胡索,0.36363636363636365,0.6666666666666666,0.25,2,1,628,6
61,鬱金,0.42276422764227645,0.8125,0.2857142857142857,26,6,540,65
62,紅花,0.0,0.0,0.0,0,0,631,6
63,桃仁,0.10256410256410257,1.0,0.05405405405405406,2,0,600,35
