,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9365853658536585,0.9896907216494846,0.8888888888888888,96,1,528,12
1,桂枝,0.9721706864564007,0.9776119402985075,0.966789667896679,262,6,360,9
2,荊芥,0.8947368421052632,0.9444444444444444,0.85,17,1,616,3
3,防風,0.911764705882353,1.0,0.8378378378378378,31,0,600,6
4,細辛,0.9776536312849162,1.0,0.9562841530054644,175,0,454,8
5,白芷,0.0,0.0,0.0,0,0,630,7
6,生薑,0.9523809523809523,0.9714285714285714,0.9340659340659341,170,5,450,12
7,辛夷,0.9473684210526316,1.0,0.9,27,0,607,3
8,葛根,0.631578947368421,1.0,0.46153846153846156,6,0,624,7
9,升麻,1.0,1.0,1.0,8,0,629,0
10,柴胡,0.982716049382716,0.995,0.9707317073170731,199,1,431,6
11,蟬蛻,0.9655172413793104,1.0,0.9333333333333333,14,0,622,1
12,石膏,0.9570552147239264,0.9873417721518988,0.9285714285714286,78,1,552,6
13,知母,0.970873786407767,0.9803921568627451,0.9615384615384616,100,2,531,4
14,梔子,0.9090909090909091,1.0,0.8333333333333334,40,0,589,8
15,天花粉,0.47058823529411764,1.0,0.3076923076923077,4,0,624,9
16,夏枯草,0.5454545454545454,1.0,0.375,3,0,629,5
17,決明子,0.19999999999999998,1.0,0.1111111111111111,1,0,628,8
18,生地,0.9411764705882353,0.9846153846153847,0.9014084507042254,64,1,565,7
19,牡丹皮,0.0,0.0,0.0,0,0,630,7
20,連翹,0.0689655172413793,1.0,0.03571428571428571,1,0,609,27
21,射干,0.0,0.0,0.0,0,0,620,17
22,黃連,0.9781021897810218,1.0,0.9571428571428572,134,0,497,6
23,黃芩,0.9900199600798403,1.0,0.9802371541501976,248,0,384,5
24,黃柏,0.9545454545454546,0.9545454545454546,0.9545454545454546,42,2,591,2
25,龍膽草,0.962962962962963,1.0,0.9285714285714286,78,0,553,6
26,大黃,0.9589041095890412,0.9722222222222222,0.9459459459459459,105,3,523,6
27,芒硝,0.9647058823529412,0.9761904761904762,0.9534883720930233,41,1,593,2
28,防己,0.36065573770491804,1.0,0.22,11,0,587,39
29,秦艽,0.0,0.0,0.0,0,0,633,4
30,絡石藤,0.0,0.0,0.0,0,0,630,7
31,蒼朮,0.04347826086956522,1.0,0.022222222222222223,1,0,592,44
32,草果,0.0,0.0,0.0,0,0,631,6
33,茯苓,0.9707317073170733,0.9851485148514851,0.9567307692307693,199,3,426,9
34,豬苓,0.9344262295081968,0.9661016949152542,0.9047619047619048,57,2,572,6
35,薏苡仁,0.4444444444444445,1.0,0.2857142857142857,2,0,630,5
36,海金砂,0.33333333333333337,1.0,0.2,1,0,632,4
37,澤瀉,0.9680365296803652,1.0,0.9380530973451328,212,0,411,14
38,車前子,0.7499999999999999,1.0,0.6,3,0,632,2
39,滑石,0.85,0.9444444444444444,0.7727272727272727,17,1,614,5
40,木通,1.0,1.0,1.0,53,0,584,0
41,通草,0.8,1.0,0.6666666666666666,2,0,634,1
42,赤小豆,0.42857142857142855,1.0,0.2727272727272727,3,0,626,8
43,燈心草,0.0,0.0,0.0,0,0,631,6
44,乾薑,0.8995983935742973,1.0,0.8175182481751825,112,0,500,25
45,附子,0.963531669865643,0.9920948616600791,0.9365671641791045,251,2,367,17
46,吳茱萸,0.9482758620689655,1.0,0.9016393442622951,55,0,576,6
47,枳實,0.7382550335570469,1.0,0.5851063829787234,55,0,543,39
48,烏藥,0.0,0.0,0.0,0,0,553,84
49,厚朴,0.9617486338797814,0.9887640449438202,0.9361702127659575,88,1,542,6
50,大腹皮,0.6666666666666666,1.0,0.5,3,0,631,3
51,青皮,0.15384615384615385,1.0,0.08333333333333333,1,0,625,11
52,薤白,0.375,1.0,0.23076923076923078,3,0,624,10
53,麥芽,0.9559748427672956,1.0,0.9156626506024096,76,0,554,7
54,側柏葉,0.4878048780487805,1.0,0.3225806451612903,10,0,606,21
55,槐花,0.0,0.0,0.0,0,0,625,12
56,三七,0.0,0.0,0.0,0,0,629,8
57,茜草,0.9949238578680203,1.0,0.98989898989899,98,0,538,1
58,川芎,0.9454545454545454,0.9936305732484076,0.9017341040462428,156,1,463,17
59,乳香,0.8,1.0,0.6666666666666666,6,0,628,3
60,延胡索,0.0,0.0,0.0,0,0,629,8
61,鬱金,0.9550561797752809,0.9770114942528736,0.9340659340659341,85,2,544,6
62,紅花,0.0,0.0,0.0,0,0,631,6
63,桃仁,0.8253968253968255,1.0,0.7027027027027027,26,0,600,11
64,牛膝,0.2857142857142857,1.0,0.16666666666666666,4,0,613,20
65,半夏,0.9407665505226481,1.0,0.8881578947368421,135,0,485,17
66,白附子,0.41379310344827586,1.0,0.2608695652173913,6,0,614,17
67,桔梗,0.0,0.0,0.0,0,0,607,30
68,旋覆花,0.7560975609756097,1.0,0.6078431372549019,31,0,586,20
69,瓜蔞,0.0,0.0,0.0,0,0,626,11
70,海藻,0.0,0.0,0.0,0,0,617,20
71,杏仁,0.6666666666666665,0.9459459459459459,0.5147058823529411,35,2,567,33
72,紫菀,0.0,0.0,0.0,0,0,627,10
73,龍骨,0.047619047619047616,1.0,0.024390243902439025,1,0,596,40
74,牡蠣,0.8586387434554975,1.0,0.7522935779816514,82,0,528,27
75,酸棗仁,0.0,0.0,0.0,0,0,613,24
76,遠志,0.0,0.0,0.0,0,0,605,32
77,小麥,0.0,0.0,0.0,0,0,626,11
78,代赭石,0.8928571428571428,1.0,0.8064516129032258,50,0,575,12
79,黃耆,0.6666666666666666,1.0,0.5,19,0,599,19
80,白朮,0.9373134328358209,1.0,0.8820224719101124,157,0,459,21
81,大棗,0.9415584415584416,1.0,0.8895705521472392,145,0,474,18
82,甘草,0.9659090909090909,0.9912536443148688,0.9418282548476454,340,3,273,21
83,巴戟天,0.29629629629629634,1.0,0.17391304347826086,4,0,614,19
84,補骨脂,0.9837133550488599,1.0,0.967948717948718,151,0,481,5
85,益智仁,0.2857142857142857,1.0,0.16666666666666666,1,0,631,5
86,陽起石,0.18181818181818182,1.0,0.1,4,0,597,36
87,續斷,0.16666666666666669,1.0,0.09090909090909091,1,0,626,10
88,杜仲,0.125,1.0,0.06666666666666667,1,0,622,14
89,何首烏,0.5217391304347826,1.0,0.35294117647058826,6,0,620,11
90,當歸,0.9683698296836982,0.995,0.943127962085308,199,1,425,12
