,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9359605911330049,1.0,0.8796296296296297,95,0,529,13
1,桂枝,0.9716446124763705,0.9961240310077519,0.948339483394834,257,1,365,14
2,荊芥,0.8947368421052632,0.9444444444444444,0.85,17,1,616,3
3,防風,0.9142857142857143,0.9696969696969697,0.8648648648648649,32,1,599,5
4,細辛,0.9776536312849162,1.0,0.9562841530054644,175,0,454,8
5,白芷,0.923076923076923,1.0,0.8571428571428571,6,0,630,1
6,生薑,0.9523809523809523,0.9714285714285714,0.9340659340659341,170,5,450,12
7,辛夷,0.9473684210526316,1.0,0.9,27,0,607,3
8,葛根,0.761904761904762,1.0,0.6153846153846154,8,0,624,5
9,升麻,1.0,1.0,1.0,8,0,629,0
10,柴胡,0.9828009828009828,0.9900990099009901,0.975609756097561,200,2,430,5
11,蟬蛻,0.9655172413793104,1.0,0.9333333333333333,14,0,622,1
12,石膏,0.9565217391304348,1.0,0.9166666666666666,77,0,553,7
13,知母,0.970873786407767,0.9803921568627451,0.9615384615384616,100,2,531,4
14,梔子,0.9791666666666666,0.9791666666666666,0.9791666666666666,47,1,588,1
15,天花粉,1.0,1.0,1.0,13,0,624,0
16,夏枯草,0.9333333333333333,1.0,0.875,7,0,629,1
17,決明子,0.8750000000000001,1.0,0.7777777777777778,7,0,628,2
18,生地,0.9784172661870503,1.0,0.9577464788732394,68,0,566,3
19,牡丹皮,1.0,1.0,1.0,7,0,630,0
20,連翹,0.9642857142857143,0.9642857142857143,0.9642857142857143,27,1,608,1
21,射干,0.9696969696969697,1.0,0.9411764705882353,16,0,620,1
22,黃連,0.9788732394366197,0.9652777777777778,0.9928571428571429,139,5,492,1
23,黃芩,0.9861932938856015,0.984251968503937,0.9881422924901185,250,4,380,3
24,黃柏,0.9647058823529412,1.0,0.9318181818181818,41,0,593,3
25,龍膽草,0.9759036144578312,0.9878048780487805,0.9642857142857143,81,1,552,3
26,大黃,0.9626168224299065,1.0,0.9279279279279279,103,0,526,8
27,芒硝,0.9767441860465116,0.9767441860465116,0.9767441860465116,42,1,593,1
28,防己,0.98989898989899,1.0,0.98,49,0,587,1
29,秦艽,0.8571428571428571,1.0,0.75,3,0,633,1
30,絡石藤,1.0,1.0,1.0,7,0,630,0
31,蒼朮,0.9534883720930233,1.0,0.9111111111111111,41,0,592,4
32,草果,1.0,1.0,1.0,6,0,631,0
33,茯苓,0.970873786407767,0.9803921568627451,0.9615384615384616,200,4,425,8
34,豬苓,0.943089430894309,0.9666666666666667,0.9206349206349206,58,2,572,5
35,薏苡仁,0.8333333333333333,1.0,0.7142857142857143,5,0,630,2
36,海金砂,1.0,1.0,1.0,5,0,632,0
37,澤瀉,0.9774774774774776,0.9954128440366973,0.9601769911504425,217,1,410,9
38,車前子,1.0,1.0,1.0,5,0,632,0
39,滑石,0.9047619047619048,0.95,0.8636363636363636,19,1,614,3
40,木通,1.0,1.0,1.0,53,0,584,0
41,通草,1.0,1.0,1.0,3,0,634,0
42,赤小豆,1.0,1.0,1.0,11,0,626,0
43,燈心草,0.9090909090909091,1.0,0.8333333333333334,5,0,631,1
44,乾薑,0.9782608695652174,0.9712230215827338,0.9854014598540146,135,4,496,2
