,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.8372093023255813,0.72,1.0,108,42,487,0
1,桂枝,0.9721706864564007,0.9776119402985075,0.966789667896679,262,6,360,9
2,細辛,0.9700272479564033,0.967391304347826,0.9726775956284153,178,6,448,5
3,生薑,0.9502762430939227,0.9555555555555556,0.945054945054945,172,8,447,10
4,柴胡,0.973621103117506,0.9575471698113207,0.9902439024390244,203,9,423,2
5,石膏,0.9257142857142856,0.8901098901098901,0.9642857142857143,81,10,543,3
6,知母,0.9488372093023255,0.918918918918919,0.9807692307692307,102,9,524,2
7,黃連,0.9788732394366197,0.9652777777777778,0.9928571428571429,139,5,492,1
8,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
9,龍膽草,0.9647058823529412,0.9534883720930233,0.9761904761904762,82,4,549,2
10,大黃,0.9506726457399103,0.9464285714285714,0.954954954954955,106,6,520,5
11,茯苓,0.9686746987951806,0.9710144927536232,0.9663461538461539,201,6,423,7
12,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
13,乾薑,0.9818181818181817,0.9782608695652174,0.9854014598540146,135,3,497,2
14,附子,0.9774436090225564,0.9848484848484849,0.9701492537313433,260,4,365,8
15,枳實,0.9837837837837838,1.0,0.9680851063829787,91,0,543,3
16,烏藥,0.9940119760479043,1.0,0.9880952380952381,83,0,553,1
17,厚朴,0.9574468085106385,0.9574468085106383,0.9574468085106383,90,4,539,4
18,茜草,0.9949238578680203,1.0,0.98989898989899,98,0,538,1
19,川芎,0.9653179190751445,0.9653179190751445,0.9653179190751445,167,6,458,6
20,鬱金,0.9836065573770493,0.9782608695652174,0.989010989010989,90,2,544,1
21,半夏,0.9487179487179489,0.925,0.9736842105263158,148,12,473,4
22,牡蠣,0.8825910931174089,0.7898550724637681,1.0,109,29,499,0
23,白朮,0.9577464788732394,0.96045197740113,0.9550561797752809,170,7,452,8
24,大棗,0.9500000000000001,0.9681528662420382,0.9325153374233128,152,5,469,11
25,甘草,0.96875,0.9941690962099126,0.9445983379501385,341,2,274,20
26,補骨脂,0.9872611464968154,0.9810126582278481,0.9935897435897436,155,3,478,1
27,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
28,白芍,0.9766718506998445,0.9905362776025236,0.9631901840490797,314,3,308,12
29,阿膠,0.9761904761904762,0.9647058823529412,0.9879518072289156,82,3,551,1
30,炙甘草,0.9689608636977058,0.9972222222222222,0.9422572178477691,359,1,255,22
31,overall,0.9658015553265248,0.9626447515875981,0.9689791314156796,5154,200,14228,165
